user,user_profile,date_review,title,rating,type_visit,num_contributions,review,restaurant,review_cleaned,year,month
Vincent G,vincentgP8623EQ,2023-03-18,Très  bien!,5.0,couples,3,"Nous avons très bien mangé dans un cadre chargé d'histoire. Cuisine originale. 
Service rapide et attentif.
Une très bonne expérience. ",Le Grand Réfectoire,avon très bien mangé cadre chargé dhistoire cuisine originale service rapide attentif très bonne expérience,2023,3
Fabien W,Fabwall,2023-03-18,"Long, cher et carte incomplète",3.0,none,2,Beaucoup de plats a bas de truffe mais pas de truffe. Rupture de stock. Service tres long et cher pour ce que c est. ,Le Grand Réfectoire,beaucoup plat truffe truffe rupture stock service tres long cher,2023,3
fabroberfroid,fabroberfroid,2023-03-17,Dîner en famille,5.0,family,2,"Service au top
Excellente recommandation pour le vin 
Plats délicieux 
On a adoré 
Un seul bémol: l’éclairage un peu trop tamisé mais c’est du détail 
La salle est splendide",Le Grand Réfectoire,service top excellente recommandation vin plat délicieux adoré seul bémol léclairage peu trop tamisé cest détail salle splendide,2023,3
Xavier S,827xaviers,2023-03-15,A éviter,2.0,none,25,"A part l'endroit remarquable, la cuisine est banale et chère. 
Aucun intérêt gastronomique. 
Dommage...",Le Grand Réfectoire,part lendroit remarquable cuisine banale chère aucun intérêt gastronomique dommage,2023,3
thierry G,thierrygrandlyon,2023-03-10,50 ans,3.0,couples,9,"Choix limite
St jacques petite quantite 
Bon service rapide sympathique beau cadre
J avais demande bougie pour 50 ans
Pas eu",Le Grand Réfectoire,choix limite jacques petite quantite bon service rapide sympathique beau cadre demande bougie,2023,3
marcrt43,marcrt43,2023-03-09,Belle surprise,5.0,couples,20,"Très joli cadre. Bien accueilli et service impeccable.
Sur l'entrée (carpaccio de saint-jacques) un petit manque d'assaisonnement pour moi. Et puis sur le plat un gros coup de cœur sur les saveurs et l'équilibre des goûts, je ne m'attendais pas à être aussi bluffé !  J'y retournerai.",Le Grand Réfectoire,très joli cadre bien accueilli service impeccable lentrée carpaccio saintjacques petit manque dassaisonnement puis plat gros coup cœur saveurs léquilibre goûts mattendais être aussi bluffé retournerai,2023,3
Dominique B,H8677XKdominiqueb,2023-03-05,Excellent déjeuner dans un cadre unique,5.0,none,5,"Excellente cuisine, originale et bien présentée. Beaucoup de saveurs. Service impeccable avec un personnel souriant et sympathique. 
Le cadre est exceptionnel, l'ancien réfectoire de l'Hôtel-Dieu a été très bien mis en valeur.
Bon rapport qualité / prix",Le Grand Réfectoire,excellente cuisine originale bien présentée beaucoup saveurs service impeccable personnel souriant sympathique cadre exceptionnel lancien réfectoire lhôteldieu très bien valeur bon rapport qualité prix,2023,3
Salomé,SALOMEACC,2023-03-04,Exceptionnel,5.0,couples,6,"Nous avons passé un excellent moment. Le repas était divin, toutes les saveurs étaient au rendez-vous et les présentations des plats étaient superbes. Rien à redire non plus du côté du service qui était exceptionnel. Merci pour ce moment.",Le Grand Réfectoire,avon passé excellent moment repas divin toutes saveurs rendezvous présentations plat superbes rien redire non plus côté service exceptionnel merci moment,2023,3
Cyril,185cyw,2023-03-04,Dîner,5.0,couples,7,"Personnel accueillant et discret.
Service rapide. Plats et vin très agréables. 
Deuxième repas et premier dîner pas déçu. Ambiance seine et chaleureuse.
Je recommande.",Le Grand Réfectoire,personnel accueillant discret service rapide plat vin très agréables deuxième repas premier dîner déçu ambiance seine chaleureuse recommande,2023,3
Nath,Nath74650,2023-03-03,Déjeuner,5.0,couples,2,"Excellents plats dans un cadre juste magnifique .
Service impeccable . Un très bon moment .
Je conseille vivement",Le Grand Réfectoire,excellents plat cadre juste magnifique service impeccable très bon moment conseille vivement,2023,3
Philoo69,Philoo69,2023-03-03,Le cadre....,3.0,none,76,"Oui, le lieu est chargé d'histoire, élégant et grandiose en fait... Mais l'ensemble reste un peu froid particulièrement pour un déjeuner de début mars.

Dans l'assiette c'est simple et plutôt bon avec des produits de bonne qualité. Le dessert (un fondant chocolat, caramel, pommes confites) est digne de ce que confectionne mon fils de 12 ans à la maison. Une honte!
28 euros pour 4 verres de vin....
Et un pain dans la corbeille dégelé sans doute cuit sur place...

Le service est pro et attentionné.

Il manque des éléments pour atteindre les sommets selon nous.",Le Grand Réfectoire,oui lieu chargé dhistoire élégant grandiose fait lensemble reste peu froid particulièrement déjeuner début mar lassiette cest simple plutôt bon produits bonne qualité dessert fondant chocolat caramel pommes confites digne confectionne fils maison honte euro verres vin pain corbeille dégelé sans doute cuit place service pro attentionné manque éléments atteindre sommets selon,2023,3
Brice d,487briced,2023-03-02,Un excellent moment,5.0,family,2,"Accueil suite à réservation parfait, aménagement très élégant, moderne et confortable tout en respectant l’esprit du lieu. Menu du déjeuner en trois plats raffiné par ses textures et goûts, délicieux. Service compétent et efficace.",Le Grand Réfectoire,accueil suite réservation parfait aménagement très élégant moderne confortable tout respectant lesprit lieu menu déjeuner trois plat raffiné texture goûts délicieux service compétent efficace,2023,3
lebrungerard,lebrungerard,2023-03-02,Valeur sûre,4.0,couples,14,"Une valeur sûre
Cependant les menus mériteraient d’être un peu plus étoffés
Service rapide  efficace et très professionnel",Le Grand Réfectoire,valeur sûre cependant menu mériteraient dêtre peu plus étoffés service rapide efficace très professionnel,2023,3
evelyne j,evelynej789,2023-02-26,Grand réfectoire,5.0,none,1,"Excellent  moment dans un cadre exceptionnel, chargé d'histoire. 
La cuisine délicieuse avec des choix difficile à choisir, tout donne envie.
Service agréable, beaucoup  de gentillesse, personnel au petit soin...
Si vous voulez passer un agréable moment, je vous recommande le grand réfectoire",Le Grand Réfectoire,excellent moment cadre exceptionnel chargé dhistoire cuisine délicieuse choix difficile choisir tout donne envie service agréable beaucoup gentillesse personnel petit soin voulez passer agréable moment recommande grand réfectoire,2023,2
Siméon L,D8945INsim_onl,2023-02-25,Soirée magique,5.0,couples,7,"Un très beau restaurant en parfaite harmonie avec la carte du restaurant. Un mélange entre modernité et tradition (dans l’assiette comme dans le style du restaurant). Une équipe très serviable et aimable !

Nous nous sommes laissés tenter par le menu collection. Le rapport qualité prix est vraiment excellent. Les plats sont d’une qualité exceptionnelle, le service rapide et les portions sont idéales pour pouvoir apprécier la découverte jusqu’au bout ! 

Il faut absolument venir découvrir ce restaurant si vous souhaitez célébrer un événement particulier sur Lyon",Le Grand Réfectoire,très beau restaurant parfaite harmonie carte restaurant mélange entre modernité tradition lassiette comme style restaurant équipe très serviable aimable somme laissés tenter menu collection rapport qualité prix vraiment excellent plat dune qualité exceptionnelle service rapide portion idéales pouvoir apprécier découverte jusquau bout faut absolument venir découvrir restaurant souhaitez célébrer événement particulier lyon,2023,2
j L,T3980EEjl,2023-02-25,Grand réfectoire,5.0,family,1,"Tout est très agréable: la cuisine, originale et délicieuse; l’accueil et le service: beaucoup de gentillesse et de sourires; le cadre : splendide!",Le Grand Réfectoire,tout très agréable cuisine originale délicieuse laccueil service beaucoup gentillesse sourires cadre splendide,2023,2
Emilie N,452emilien,2023-02-22,Très bon restaurant,4.0,couples,12,"Le service est impeccable du début à la fin. La cuisine est très bonne et les prix justes.
Seul petit bémol le bruit avec la hauteur sous plafond, les conversations sont amplifiées.",Le Grand Réfectoire,service impeccable début fin cuisine très bonne prix justes seul petit bémol bruit hauteur sou plafond conversation amplifiées,2023,2
loulou69f,loulou69f,2023-02-21,Déçus par les plats qui manquent de goûts !,3.0,business,1051,"Le cadre est assez exceptionnel.
Même si pour ma part je trouve qu’avec toutes ces grandes tables, finalement c’est un peu impersonnel.
Mais surtout ce qui m’a déçu ce sont les saveurs dans les plats.
Notamment mon plat principal n’était pas assez chaud et n’était pas goûteux.
Bref expérience en demie teinte !",Le Grand Réfectoire,cadre assez exceptionnel part trouve quavec toutes grandes table finalement cest peu impersonnel surtout déçu saveurs plat notamment plat principal nétait assez chaud nétait goûteux bref expérience demie teinte,2023,2
