,user,user_profile,date_review,title,rating,type_visit,num_contributions,review
59,Pierre V,pierrev883,19 octobre 2018,Le sushi a Lyon...c’est le Wasabi,5.0,couples,132,"Nous y étions en octobre 2018.

De l’extérieur, l’endroit ne paye pas de mine, rue d’Anvers une petite rue qui donne sur la rue de l’Université.
Poussez la porte, vous entrez dans une salle pas très grande mais où règne une douce lumière avec des myriades de petites ampoules, une musique d’ambiance calme et reposante.
Une partie de la salle est légèrement surélevée.
Au fond c’est la cuisine ou l’on voit « officier » le chef Kim qui prépare des Sushis exceptionnels.
Les menus sont composés d’une salade garnie de saumon, de beignets de crevettes, d’un grand plat de sushis et d’un dessert.
Selon le menu choisi la quantité et la variété de sushis est différente.
Le serveur ou le chef Kim lui-même vous expliquerons comment et dans quel ordre les déguster.

Nous avons passé une soirée au calme, reposante et nous avons dégusté des sushis excellent que nous avons précédés par un whisky japonais bien sûr.

Les sushis sont à la hauteur, l’addition aussi.
Les menus sont entre 32€ et 64€ le soir, mais sont moins cher à midi.

Un incontournable à Lyon."
60,theza2016,theza2016,5 octobre 2018,Très sympa,4.0,couples,109,"Un peu petit mais très sympa.Accueil chaleureux et les recommandations sont parfaites. Le saumon est à tomber. En salade comme en brochette
Idéal pour les amoureux. Accessible en transport en commun. Prix intermédiaires
Produits frais et de qualité
On recommande +++"
61,Julien.,666JC666,28 septembre 2018,Il n'y a pas mieux.,5.0,friends,231,"Un régal sans toujours renouvelé. Le chef vient à table pour vous expliquer comment déguster les plats qu'il vous a préparé. Les sushis et sashimis sont subtiles et raffinés, ils fondent dans la bouche, le wazabi vous réveille pour ne pas oublier que vous ne rêvés pas."
62,Fabien A,fabiena804,14 septembre 2018,Extra,5.0,couples,6,Nous sommes des habitués de longue date. C'est toujours un plaisirs de déguster le menu Wasabi de maitre Kim. Seul ombre au tableau le prix ne cesse de grimper. C'est le meilleur Sushi de la région.
63,Leanie69,Leanie69,16 août 2018,Remarquables saveurs japonaises,5.0,couples,145,"Menu Bulgogi exceptionnel (sur commande) En entrée salade de roquette et feuilles de betterave, saumon mariné et sauce soja sésame (?), suivi d’une soupe Miso, le plat de viande marinée dans une sauce maison (+ riz nature). La portion est copieuse. En dessert la glace au sésame noir servie avec son croquant est remarquable ! Les poissons grillés sont plus anodins."
64,Cleolis,Cleolis,8 août 2018,Un vrai restau japonais,5.0,friends,6,"Le Japon! Super bon raffiné, copieux et tout ceci dans une serreinité remarquable. Très bonne expérience, à refaire!
Allez en prenant le temps... un vraiment moment de dépaysement .
Tout est frais, fais à la main par le chef KIM. Toute l’équipe est japonaise et converse mal en Français mais ce qu’il faut pour se faire totalement comprendre. (J’ai des allergies donc important) un super services et des super assiettes! Merci!"
65,stefts7,stefts7,25 juillet 2018,Délicieux mais...,3.0,solo,30,"Excellent en goût, immergé au Japon, mais long, cher Et ambiance un peu Japan Old School (musique, déco...)."
66,pinpon69ol,pinpon69ol,24 juillet 2018,restaurant,5.0,couples,87,"restaurant pour manger japonais excellent, par contre il faudra ouvrir le porte monnaie, mais peut avoir la qualité et la fraicheur sans le prix à lyon ?"
67,Heat94,Heat94,12 juillet 2018,Un véritable restaurant Japonais !,5.0,friends,257,"Réservation fortement conseillée dans ce restaurant qui est très loin des ""usines"" à sushis et autres items bien trop répandues désormais.
Ici les sushis sont préparés à la demande, on vous explique comment les déguster et ils sont faits à base de plusieurs types de poissons. 
Accueil ""à l'asiatique"" c'est à dire d'une exquise politesse, très prévenant bien que un peu lent mais c'est la contrepartie du ""fait maison""."
68,Sab M,792sabm,23 juin 2018,Un merveilleux moment,5.0,friends,19,"Adeptes de la cuisine japonaise, nous avons été conquis par ce restaurant. J’ai  été charmée par cette ambiance simple et authentique (même si la cadre est plutôt vieillissant). Les plats sont cuisinés avec beaucoup de finesse et d’équilibre. Les menus sont complets et permettent de goûter plusieurs saveurs. Les produits sont frais et cuisinés sur place. Le chef se déplace à table pour prodiguer ses conseils. Nous étions 6 et le verdict était unanime: nous nous sommes régalés. 
Véritable coup de Cœur pour ce restaurant. "
